(11397.0, 3753.0) ==> (10998.0, 4012.0) ==> (10599.0, 4271.0) ==> (10200.0, 4530.0)
(11397.0, 3753.0) ==> (10998.0, 4012.0) ==> (10599.0, 4271.0) ==> (10200.0, 4530.0)
(11397.0, 3753.0) ==> (10998.0, 4012.0) ==> (10599.0, 4271.0) ==> (10200.0, 4530.0)
(10353.0, 4920.0) ==> (10051.0, 5099.0) ==> (9749.0, 5278.0) ==> (9447.0, 5457.0)
(10353.0, 4920.0) ==> (10051.0, 5099.0) ==> (9749.0, 5278.0) ==> (9447.0, 5457.0)
(10353.0, 4920.0) ==> (10051.0, 5099.0) ==> (9749.0, 5278.0) ==> (9447.0, 5457.0)
(10353.0, 4920.0) ==> (10051.0, 5099.0) ==> (9749.0, 5278.0) ==> (9447.0, 5457.0)
(2487.0, 5046.0) ==> (2269.0, 5464.0) ==> (2051.0, 5882.0) ==> (1833.0, 6300.0)
(2487.0, 5046.0) ==> (2269.0, 5464.0) ==> (2051.0, 5882.0) ==> (1833.0, 6300.0)
(2487.0, 5046.0) ==> (2269.0, 5464.0) ==> (2051.0, 5882.0) ==> (1833.0, 6300.0)
(2487.0, 5046.0) ==> (2269.0, 5464.0) ==> (2051.0, 5882.0) ==> (1833.0, 6300.0)
(3153.0, 3363.0) ==> (2931.0, 3924.0) ==> (2709.0, 4485.0) ==> (2487.0, 5046.0)
(3153.0, 3363.0) ==> (2931.0, 3924.0) ==> (2709.0, 4485.0) ==> (2487.0, 5046.0)
(3153.0, 3363.0) ==> (2931.0, 3924.0) ==> (2709.0, 4485.0) ==> (2487.0, 5046.0)
(3153.0, 3363.0) ==> (2931.0, 3924.0) ==> (2709.0, 4485.0) ==> (2487.0, 5046.0)
(3804.0, 1017.0) ==> (3587.0, 1799.0) ==> (3370.0, 2581.0) ==> (3153.0, 3363.0)
(3804.0, 1017.0) ==> (3587.0, 1799.0) ==> (3370.0, 2581.0) ==> (3153.0, 3363.0)
(3804.0, 1017.0) ==> (3587.0, 1799.0) ==> (3370.0, 2581.0) ==> (3153.0, 3363.0)
(3804.0, 1017.0) ==> (3587.0, 1799.0) ==> (3370.0, 2581.0) ==> (3153.0, 3363.0)
(3750.0, 4917.0) ==> (3758.0, 5329.0) ==> (3766.0, 5741.0) ==> (3774.0, 6153.0)
(3750.0, 4917.0) ==> (3758.0, 5329.0) ==> (3766.0, 5741.0) ==> (3774.0, 6153.0)
(3750.0, 4917.0) ==> (3758.0, 5329.0) ==> (3766.0, 5741.0) ==> (3774.0, 6153.0)
(3750.0, 4917.0) ==> (3758.0, 5329.0) ==> (3766.0, 5741.0) ==> (3774.0, 6153.0)
(4494.0, 2787.0) ==> (4246.0, 3497.0) ==> (3998.0, 4207.0) ==> (3750.0, 4917.0)
(4494.0, 2787.0) ==> (4246.0, 3497.0) ==> (3998.0, 4207.0) ==> (3750.0, 4917.0)
(4494.0, 2787.0) ==> (4246.0, 3497.0) ==> (3998.0, 4207.0) ==> (3750.0, 4917.0)
(4494.0, 2787.0) ==> (4246.0, 3497.0) ==> (3998.0, 4207.0) ==> (3750.0, 4917.0)
(7497.0, 2463.0) ==> (7336.0, 3082.0) ==> (7175.0, 3701.0) ==> (7014.0, 4320.0)
(7497.0, 2463.0) ==> (7336.0, 3082.0) ==> (7175.0, 3701.0) ==> (7014.0, 4320.0)
(7497.0, 2463.0) ==> (7336.0, 3082.0) ==> (7175.0, 3701.0) ==> (7014.0, 4320.0)
(7497.0, 2463.0) ==> (7336.0, 3082.0) ==> (7175.0, 3701.0) ==> (7014.0, 4320.0)
(11196.0, 504.0) ==> (11354.0, 1164.0) ==> (11512.0, 1824.0) ==> (11670.0, 2484.0)
(11196.0, 504.0) ==> (11354.0, 1164.0) ==> (11512.0, 1824.0) ==> (11670.0, 2484.0)
(11196.0, 504.0) ==> (11354.0, 1164.0) ==> (11512.0, 1824.0) ==> (11670.0, 2484.0)
(11196.0, 504.0) ==> (11354.0, 1164.0) ==> (11512.0, 1824.0) ==> (11670.0, 2484.0)
(11670.0, 2484.0) ==> (11849.0, 2917.0) ==> (12028.0, 3350.0) ==> (12207.0, 3783.0)
(11670.0, 2484.0) ==> (11849.0, 2917.0) ==> (12028.0, 3350.0) ==> (12207.0, 3783.0)
(11670.0, 2484.0) ==> (11849.0, 2917.0) ==> (12028.0, 3350.0) ==> (12207.0, 3783.0)
(11670.0, 2484.0) ==> (11849.0, 2917.0) ==> (12028.0, 3350.0) ==> (12207.0, 3783.0)
(12207.0, 3783.0) ==> (12549.0, 4214.0) ==> (12891.0, 4645.0) ==> (13233.0, 5076.0)
(12207.0, 3783.0) ==> (12549.0, 4214.0) ==> (12891.0, 4645.0) ==> (13233.0, 5076.0)
(12207.0, 3783.0) ==> (12549.0, 4214.0) ==> (12891.0, 4645.0) ==> (13233.0, 5076.0)
(13233.0, 5076.0) ==> (13400.0, 5346.0) ==> (13567.0, 5616.0) ==> (13734.0, 5886.0)
(12207.0, 3783.0) ==> (12549.0, 4214.0) ==> (12891.0, 4645.0) ==> (13233.0, 5076.0)
(13233.0, 5076.0) ==> (13400.0, 5346.0) ==> (13567.0, 5616.0) ==> (13734.0, 5886.0)
(13233.0, 5076.0) ==> (13400.0, 5346.0) ==> (13567.0, 5616.0) ==> (13734.0, 5886.0)
(13734.0, 5886.0) ==> (13766.0, 6036.0) ==> (13798.0, 6186.0) ==> (13830.0, 6336.0)
(13233.0, 5076.0) ==> (13400.0, 5346.0) ==> (13567.0, 5616.0) ==> (13734.0, 5886.0)
(13734.0, 5886.0) ==> (13766.0, 6036.0) ==> (13798.0, 6186.0) ==> (13830.0, 6336.0)
